date,total_sales,dcoilwtico,dayofweek,month,quarter,dayofyear,weekofyear,lag_7,lag_14,lag_30,lag_365,rolling_mean_7,rolling_mean_30
2014-01-02,12034.864999,95.14,3,1,1,2,1,6151.595,9382.83803,6691.943,0.0,4330.858996571428,6471.140866633334
2014-01-03,11700.4514,93.66,4,1,1,3,1,7440.179,7930.986,6333.197996,7417.148,5171.326139285715,6649.2382666
2014-01-04,10863.582,93.66,5,1,1,4,1,4532.439,10906.77801,9158.644999,5873.244001,5779.936482142858,6828.1467134
2014-01-05,4634.573,93.66,6,1,1,5,1,1819.251996,8320.063,5920.25,5919.879001,6684.385482142859,6884.977946766667
2014-01-06,10766.978,93.12,0,1,1,6,2,5754.39498,5450.8460000000005,3094.035005,6318.7850100000005,7086.574197,6842.122046766667
2014-01-07,9582.605009,93.31,1,1,1,7,2,4618.153,11476.883,5387.647004,2199.087,7802.657485571428,7097.886813266667
2014-01-08,13372.519,91.9,2,1,1,8,2,0.0,8536.046,2435.633,6150.924,8511.864915428572,7237.718746766666
2014-01-09,9817.64,91.36,3,1,1,9,2,12034.864999,6151.595,6442.102,5597.181,10422.224772571428,7602.2816134333325
2014-01-10,10688.5596,92.39,4,1,1,10,2,11700.4514,7440.179,7488.41498,6808.57899,10105.478344142857,7714.799546766667
2014-01-11,10123.369896,92.39,5,1,1,11,2,10863.582,4532.439,8486.091,4757.715,9960.922372714285,7821.4710341
2014-01-12,4477.641,92.39,6,1,1,12,2,4634.573,1819.251996,7966.511,5494.01598,9855.177786428572,7876.0469973
2014-01-13,10587.845,91.45,0,1,1,13,3,10766.978,5754.39498,7629.721,5467.78298,9832.758929285714,7759.751330633333
2014-01-14,9212.402,92.15,1,1,1,14,3,9582.605009,4618.153,7158.148,2693.878004,9807.168500714284,7858.355463966667
2014-01-15,12945.3155,93.78,2,1,1,15,3,13372.519,0.0,3157.155,5651.68501,9754.28235657143,7926.830597300001
2014-01-16,8728.828001,93.54,3,1,1,16,3,9817.64,12034.864999,7651.485999,5204.174,9693.253285142857,8253.102613966666
2014-01-17,11014.48993,93.96,4,1,1,17,3,10688.5596,11700.4514,6812.793000000001,6733.596002,9537.708713857142,8289.014014033333
2014-01-18,10084.039,93.96,5,1,1,18,3,10123.369896,10863.582,9382.83803,4942.474,9584.270189571427,8429.070578366667
2014-01-19,4611.47,93.96,6,1,1,19,3,4477.641,4634.573,7930.986,5923.124001,9578.651490142858,8452.443944033334
2014-01-20,9262.299,93.96,0,1,1,20,4,10587.845,10766.978,10906.77801,5895.146,9597.769918714286,8341.7934107
2014-01-21,10658.405,94.51,1,1,1,21,4,9212.402,9582.605009,8320.063,2371.133995,9408.406204428571,8286.9774437
